Trump <unk> <unk> campaign <unk> <unk> Clinton,1
WATCH CNN Panel <unk> By Trump <unk> s Claims That Liberal Media <unk> White <unk>,0
FBI <unk> Hillary Clinton in <unk> <unk> probe,1
Trump <unk> Racist <unk> Won t Say President Obama Is An American,0
MEDIA <unk> Time That Bill Clinton FIRED His FBI Director On Day Before <unk> <unk> Was <unk> Dead,0
U S House passes <num> <num> <unk> measure to fund government,1
U S Senate <unk> <unk> in on Zika <unk> funding,1
U S states see <unk> <unk> for <unk> tax <unk>,1
White House says <unk> <unk> <num> budget to be <unk> on May <num>,1
Russian <unk> foreign <unk> to meet in Moscow Russian foreign ministry,1
DISGUSTING <unk> MAYOR WHO <unk> He s <unk> Trump Over Sanctuary City <unk> Order Is Accused Of <unk> <num> Yr Old Boy Two <unk>,0
<unk> New Zealand fuel pipeline to be <unk> Sunday New Zealand <unk>,1
Republicans Cruz Trump <unk> over <unk> charges of <unk>,1
Trump urges China s Xi to <unk> North Korea to end <unk> White House,1
Former Obama Advisor Rips <unk> <unk> <unk> <unk> For <unk> Sanders VIDEO,0
Trump <unk> <unk> with Republican senators Obamacare repeal on <unk>,1
U S Attorney General Sessions says to <unk> <unk> <unk> <unk> NBC News,1
Russia urges India to line up behind China s <unk> and <unk> <unk>,1
Iraqi PM <unk> U S <unk> That Foreign <unk> <unk> Should Leave Country,0
LIVE Bundy Terrorist <unk> War Against The Federal Government Because He Might Be <unk> In Jail LIVE AUDIO,0
Climate <unk> <unk> as Trump <unk> team of oil allies,1
Car bomb kills <num> Afghan <unk> <unk> outside <unk> military school,1
<unk> To Fox News <unk> To The Reporter I Assaulted Is <unk>,0
Syrian <unk> Islamic State <unk> town from government,1
Four killed in suspected <unk> <unk> <unk> attack on <unk> sources,1
JUDGE <unk> Obama White House <unk> Bad <unk> In Global <unk> Case,0
David <unk> on The Hillary Donald Bernie Show,0
WATCH <unk> Alabama Cop We Were Told To Keep Roy Moore Away From High School <unk>,0
Pope at <unk> for Africa <unk> murder of women and children,1
<unk> <unk> GIVES <unk> To <unk> Abortion <unk> For <unk> More Babies Than <unk> Year,0
U S diplomat <unk> says <unk> about Ukraine reforms,1
Trump BUSTED <unk> The Middle <unk> To Italy s <unk> Minister VIDEO,0
HOW TO <unk> <unk> After The <num> Election Video,0
