,title,class
0,ouch chuck todd humiliates dnc chair sickening va governor tv ad democrat denounce drive pickup truck racist video,0
1,nasralla practically assured honduras election win official,1
2,mexico ruling party lean outside candidate save presidency,1
3,senator asks ethic office review trump hotel payment,1
4,france see talk post iran nuclear deal ballistic missile use,1
5,trump fever w va dem senator say vote party give sh cost election former dem w va governor switched party trump rally last week,0
6,watch whoopi goldberg joy behar wreck republican attempt kill ethic panel,0
7,disgusting usa today video suggests trump era make traveling unsafe rebuttal video already video,0
8,video leftist cnn anchor tell racist u rep baltimoreriots vet fault come back war ready battle,0
9,even secret service saying trump full sh tape,0
10,croatian police detain eight former executive agrokor,1
11,kerry say u remains committed nato alliance security commitment,1
12,russia egypt still talk resumption date russian flight ta,1
13,paul ryan responds trump loyalty request comey beyond pathetic detail,0
14,gitmo prisoner obama released identified al qaeda leader yemen,0
15,day job trump major meltdown front world,0
16,terrorist jon ritzheimer us sobbing daughter beg money turning,0
17,trump stupidly attack major u ally threatening north korea war,0
18,spain cabinet hold special meeting gmt,1
19,watch trump new cia director mike pompeo rip hillary shred lie benghazi video,0
20,israeli siren app say rocket fired israel near gaza strip,1
21,henningsen trump challenging sacred cow u foreign policy long,0
22,factbox four million lose power florida irma utility say,1
23,trump say record conversation former fbi director comey,1
24,leaked secret memo reveals yuge problem destroying trump image,0
25,donald trump tweet ready hand putin key electoral system,0
26,gingrich seriously think trump could get black vote republican modern time,0
27,fbi investigation hillary email server entering dangerous phase video,0
28,british pm may want northern ireland government restored,1
29,watch racist republican get handed claiming trump campaign racist,0
30,merkel discus sanction russia syria obama eu leader,1
31,republican begin requiring doctor lie patient existence abortion reversal pill,0
32,sorry liberal stop petition hillary win popular vote,0
33,obama fight keep radical agenda alive asks crooked ag loretta lynch find way challenge supreme court decision blocked executive order amnesty scheme,0
34,cuba could stop attack american white house,1
35,fire south korean fitness center kill,1
36,afghan pakistan border village brace berlin wall style divide,1
37,cnn drama queen host tear reading letter trump air video,0
38,year study blow away republican lie raising wage,0
39,four democrat seek probe review ordered acting sec chair,1
40,south korea moon say north korea provocation result isolation,1
41,obama hope cooler head prevail supreme court nominee,1
42,rhodes wrong trump could last laugh,0
43,chorus sexual harassment allegation spread among u statehouse,1
44,u mexico nearing deal sugar mexico guajardo,1
45,trump make huge economic speech city ruined decade dem corruption oh irony,0
46,vote demagogue trump usa today tell reader,1
47,ny teacher give assignment high school kid come argument favor mass killing jew,0
48,palestinian resume security tie israel eye gaza enforcement,1
49,germany see sign cyber attack sept election,1
50,soda tax spread vote four u city,1
51,watch rudy giuliani begs people search clinton conspiracy video,0
52,breaking trump rudy giuliani reince priebus sen jeff session travel mexico meet president,0
53,france germany pursue syria peace effort u n,1
54,aclu threatens cleveland delay convention protest permit,1
55,reason latino democrat voting trump make rofl,0
56,obama legacy imperiled trump weighs supreme court pick,1
57,hillary clinton sexually assaulted video,0
58,npr tweet entire declaration independence dumbass conservative think attack trump screenshots,0
59,berkeley crazy rioter chase beat people shouting beat as video,0
60,right wing radio host regret conservative turned fact free monster,0
61,cnn host recognize star spangled banner tell viewer listen french national anthem,0
62,watch hilarious ad call question health aging clinton crime family boss,0
63,breaking watch cop shut portland punk protester blocking traffic video,0
64,trump end funding taxpayer funded leftist propaganda public broadcasting corp,0
65,ted cruz get owned fox host whining tough question video,0
66,sunday screening clinton chronicle,0
67,factbox break big bank end free trade agreement president sander would,1
68,actor vince vaughn destroys left awesome statement gun right,0
69,end crooked hillary political career hello darkness old friend video,0
70,afghanistan political turmoil deepens regional leader ousted,1
71,key point juncker annual eu address,1
72,sarah palin asks azealia bank join fight racism rapper say palin gang raped azealia response pure hatred,0
73,donald trump claim muslim protecting terrorist complete nonsense video,0
74,death youth leader stir tension ivory coast cocoa belt,1
75,washington criminal activity getting messier,0
76,elite nazi allied order hungary claim trump adviser sebastian gorka sworn member,0
77,factbox major point friction nafta talk sour,1
78,carly fiorina ted cruz chance winning real planned parenthood video,0
79,boom trump expose phony michelle obama went low oprah trump went high high video,0
80,white house make decision report june bob graham,1
81,bam liberal thug tossed trump rally crowd go nut video,0
